ID|Kategori|SoruMetni|SecenekA|SecenekB|SecenekC|SecenekD|DogruCevap
1|K1|Dünyanın en çok satan blok kırma ve inşa etme oyunu hangisidir?|Terraria|Minecraft|Lego Worlds|Roblox|B
2|K1|Super Mario serisindeki Mario'nun şapkasının rengi nedir?|Mavi|Sarı|Yeşil|Kırmızı|D
3|K1|PlayStation oyun konsolunu hangi firma üretmektedir?|Sega|Sony|Nintendo|Microsoft|B
4|K1|GTA serisinde araba çalmak dışında en çok yapılan aktivite nedir?|Görev Yapmak|Yemek Yapmak|Balık Tutmak|Kitap Okumak|A
5|K1|Sanal bebek besleyip büyüttüğümüz efsanevi oyuncağın adı nedir?|Gameboy|Tetris|Furby|Tamagotchi|D
6|K1|Futbol oyunu denince akla gelen, EA Sports imzalı seri hangisidir?|EA FC|Dream League|Football Manager|PES|A
7|K1|Pokemon serisinin en ünlü sarı faresi kimdir?|Raichu|Rattata|Pikachu|Meowth|C
8|K1|PC oyuncularının oyun satın aldığı en popüler dijital platform hangisidir?|Steam|Discord|Netflix|Spotify|A
9|K1|Pac-Man oyununda Pac-Man'i kovalayanlar nedir?|Zombiler|Hayaletler|Köpekler|Kediler|B
10|K1|Sims oyunundaki karakterlerin konuştuğu uydurma dile ne ad verilir?|Simlish|Giberish|Esperanto|English|A
11|K1|Hangisi bir oyun türü olan 'FPS'nin açılımıdır?|First Person Shooter|Free Play Station|Fast Player System|Final Pro Shooter|A
12|K1|Mobil dünyayı kasıp kavuran şeker patlatma oyunu hangisidir?|Temple Run|Angry Birds|Candy Crush Saga|Clash of Clans|C
13|K1|Klavye ve fare ikilisinde 'Ateş Etme' tuşu genellikle hangisidir?|Enter|Sol Tık|Sağ Tık|Boşluk|B
14|K1|League of Legends (LoL) oyununda yıkmaya çalıştığımız ana binanın adı nedir?|Nexus|Baraka|Kule|Kale|A
15|K1|God of War oyunundaki ana karakter Kratos'un lakabı nedir?|Kel Adam|Yunan Tanrısı|Savaşın Oğlu|Sparta'nın Hayaleti|D
16|K1|Counter-Strike oyununda teröristlerin kurduğu patlayıcıya ne denir?|TNT|Dinamit|C4|Mayın|C
17|K1|Hangi tuş genellikle oyunlarda 'Zıplama' işlevini görür?|Space|Alt|Shift|Ctrl|A
18|K1|Battle Royale türünü popülerleştiren oyun hangisidir?|Metin2|Call of Duty|PUBG|Half-Life|C
19|K1|Tomb Raider serisinin kadın başrolü kimdir?|Lara Croft|Jill Valentine|Princess Peach|Ellie|A
20|K1|Hangisi bir mobil oyun markasıdır?|Intel|Nvidia|Rovio|AMD|C
21|K1|Bilgisayar oyuncularının kullandığı sesli iletişim programı hangisidir?|Skype|Discord|WhatsApp|Zoom|B
22|K1|Among Us oyununda hain olan oyuncuya ne denir?|Spy|Killer|Crewmate|Impostor|D
23|K1|Hangi oyun karakteri hızlı koşması ve mavi rengiyle bilinir?|Spyro|Sonic|Mario|Crash|B
24|K1|Need for Speed serisi ne tür oyunlardan oluşur?|Savaş|Spor|Yarış|Strateji|C
25|K1|Oyunlarda karakterin canı bittiğinde ekranda ne yazar?|You Win|Loading|Game Over|Try Again|C
26|K1|Half-Life serisinin ana karakteri kimdir?|Alyx|G-Man|Barney|Gordon Freeman|D
27|K1|Hangisi bir oyun konsolu değildir?|Nintendo Switch|Xbox|iPhone 15|PlayStation|C
28|K1|Oyunlarda internet gecikmesine verilen isim nedir?|Lag|Ban|Bug|Glitch|A
29|K1|Valorant oyununda karakterlere verilen genel isim nedir?|Champion|Hero|Ajan|Asker|C
30|K1|The Witcher serisindeki Geralt'ın mesleği nedir?|Canavar Avcısı|Hırsız|Büyücü|Kral|A
31|K1|Hangisi Microsoft'un oyun konsoludur?|PlayStation|Wii|Xbox|GameCube|C
32|K1|Oyunlarda klavyedeki hareket tuşları hangileridir?|Y-H-B-N|Ok Tuşları|W-A-S-D|I-J-K-L|C
33|K1|Assassin's Creed oyunlarındaki karakterlerin üyesi olduğu grup nedir?|Suikastçılar|Korsanlar|Şövalyeler|Tapınakçılar|A
34|K1|Hangisi bir Blizzard oyunudur?|World of Warcraft|FIFA|GTA|Mario|A
